Stanox,Latitude,Longitude
88601,51.49106117,0.121421935
78371,51.57496566,-3.229838992
78204,51.64471117,-3.327000665
78100,51.71506041,-3.443094566
2071,57.14368687,-2.098692385
3295,56.05458459,-3.30055942
64409,52.54397094,-4.05707623
64506,52.89859828,-4.374183797
76251,51.81669295,-3.009652806
40073,53.29458858,-3.582624979
64607,52.41405892,-4.08190475
29061,53.75298451,-2.369547264
1081,57.60957641,-4.913845978
1079,57.57926812,-5.072327896
12115,55.3070996,-1.65184821
48056,52.63470616,1.543938667
66430,52.4493358,-1.81896948
37001,53.26652072,-2.603125352
72252,51.50871569,-0.26294762
73240,51.51717971,-0.266733294
65614,52.48309876,-1.855939596
4090,55.84340395,-3.606520958
86011,51.37304281,-0.484437587
89514,51.24120434,1.199118429
32575,53.31956955,-2.133561614
30321,53.61325824,-2.603068971
23118,53.57233852,-1.180358965
36086,53.36457989,-2.927154792
36062,53.60204658,-3.042649303
36027,53.473924,-2.956279268
7476,55.78282821,-3.994184302
7327,55.86397347,-3.982901262
12401,55.03595395,-1.711060935
88462,51.43545105,0.125763332
65033,52.6379556,-2.268895994
32581,53.30379498,-2.236797421
74714,51.40196022,-1.137404286
87031,51.24641469,-0.759841693
87985,50.83637601,-0.183793716
54103,51.59792501,-0.120209754
6525,55.86316475,-4.210634131
6123,55.98507505,-4.577466863
56127,53.10044917,-1.369693716
15702,54.52463294,-1.361128628
3375,56.11778172,-3.790047676
1058,57.69437676,-4.249715428
12112,55.39277815,-1.636652996
50027,51.85400994,0.997466523
50305,51.64787458,0.752512836
22075,53.58552024,-0.733185672
1010,58.38813295,-3.7062872
87021,51.15196421,-0.966897886
37225,53.38773129,-2.346888029
66527,52.34608415,-1.967652965
57013,53.06053329,-1.48069488
87957,50.89667069,-0.541969821
70361,51.67420817,-0.607573715
79064,51.79598029,-3.996754493
44101,52.98770787,-0.535617572
7253,55.85989056,-4.270964491
86074,51.21154093,-1.492220666
87644,51.41215056,-0.065859803
51924,51.61240482,-0.048766234
87998,50.81656491,-0.489370043
9033,54.98383928,-3.26258271
6222,55.88934326,-4.321941669
30037,53.74147555,-2.99303141
17050,53.84176234,-1.705833019
9426,54.58035314,-2.486696889
89432,51.03323395,0.816375661
74340,51.63964278,-1.242122888
35050,53.5786856,-2.719251134
71023,51.73252658,-0.462913368
3023,56.5595624,-2.588936509
1041,57.8814344,-4.362090073
6059,56.3019555,-4.721640924
8208,55.63986846,-4.82108768
8198,55.64141243,-4.80118908
8204,55.63970272,-4.812652652
32045,53.47135834,-2.213882066
7259,55.85729766,-4.250679554
6004,56.91252399,-5.839058024
53201,52.02603938,-0.266294054
7324,55.88570421,-3.695404404
9415,54.80947061,-2.772076052
11403,54.20273698,-2.828240965
19019,53.88436173,-0.426578537
6101,56.20396052,-4.722753427
87958,50.84820425,-0.546151217
87103,51.40624223,-0.675815567
74463,51.86734696,-1.564037975
87014,51.24959312,-0.712786911
87041,51.27224391,-0.721630782
51019,51.56810731,0.45681876
32050,53.47165224,-2.1944348
68071,51.99891193,-2.108752512
6245,55.88891525,-4.249199991
87117,51.43650513,-0.468050397
89428,51.14370371,0.876228464
37223,53.35573847,-2.34145895
87683,51.31787079,-0.307547831
32115,53.49128772,-2.094311484
87763,51.12865818,0.152678564
86893,50.88984077,-1.526622975
53011,52.0307802,-0.109760794
11225,54.18893657,-3.204510698
44517,52.9515689,-0.898092968
10021,54.75896139,-3.331875002
62051,52.02124554,-0.6323123
65651,52.50424365,-1.871928722
69009,52.57898738,-1.552802306
35139,53.52915927,-2.478971282
1076,57.39501381,-5.455569164
55202,52.90623078,-1.231410855
48501,52.51456828,1.022371279
8825,55.4702736,-4.295335035
47321,52.00445042,0.207186326
36005,53.55426165,-2.895219043
1144,57.18849562,-3.828866287
82073,51.33964556,-2.281322943
81240,51.50035867,-2.699469996
83466,50.77925904,-3.004729989
70353,51.81389592,-0.815073128
70355,51.83116422,-0.860160038
89309,51.30131507,0.466199676
89515,51.22725736,1.209482455
8618,55.45814215,-4.6258545
38306,53.20879963,-2.891671289
79607,51.61554293,-3.811152702
87102,51.36436586,-0.688644045
17038,53.85023744,-1.753639489
7296,55.8444953,-4.113685548
87963,51.05551615,-0.136906285
53015,51.99287851,-0.187536598
87222,51.44322354,-0.152398816
6121,56.00292551,-4.583468049
3040,56.47455446,-2.838959252
1078,57.48205175,-5.333049542
30133,53.7268808,-2.660771772
34011,53.33901501,-1.689080304
6013,56.84329002,-5.095411977
69424,52.06031717,-1.328117277
40036,53.22229799,-4.135886755
36075,53.43750819,-2.98751078
87677,51.3293457,-0.213133702
8411,55.56105646,-4.651117926
13311,54.97449801,-2.346512941
11711,54.07455031,-2.835328337
7297,55.85128548,-4.073795305
78351,51.69231065,-3.22968916
51531,51.53949407,0.080929526
43306,52.94288684,-2.168110018
89402,51.28489218,0.478987677
64414,52.72290492,-4.056603599
88422,51.46495763,0.159673262
87149,51.46708465,-0.242140873
87150,51.4720071,-0.25260704
21415,53.57514047,-0.409683472
86451,50.83089553,-0.639658515
6523,55.87748347,-4.222990965
24385,53.55431756,-1.477166
83222,51.07396451,-4.063140034
66525,52.36110128,-1.992458367
7224,55.80374706,-4.397268078
8645,55.09700979,-4.781760841
21004,53.69743975,-0.392960691
11231,54.11900665,-3.226117089
59009,52.74935348,-1.144835759
78810,51.39678004,-3.284994757
78805,51.40243903,-3.260713567
78817,51.39241079,-3.27337336
3038,56.49313759,-2.74544706
21001,53.68893617,-0.443441276
86066,51.26835509,-1.087245105
89349,51.2897577,0.194254861
81501,51.37768132,-2.357016432
4010,55.89714634,-3.636089001
18437,53.7099547,-1.622955881
15511,54.457691,-1.092985267
87203,51.47695892,-0.14750857
89398,50.91290994,0.494731939
50309,51.62482806,0.565313088
53243,51.75771915,-0.095583383
73502,51.61129235,-0.643802636
66454,52.24442296,-1.75024674
6305,55.917122,-4.332004646
89404,51.27581866,0.577610331
6005,56.8995321,-5.76378254
86896,50.85503795,-1.504740073
1089,57.47826386,-4.469863239
38208,53.35766889,-3.00363449
49103,52.45854454,1.569520563
88472,51.42458037,-0.015924863
62011,52.13619782,-0.47942086
62035,52.12948853,-0.467479262
86339,50.85394535,-0.99581258
81813,51.44008449,-2.594151294
69106,52.47931221,-1.467383857
74816,51.37963628,-1.598773315
55212,52.92077284,-1.20765376
89513,51.26135998,1.136737253
32061,53.46238915,-2.180505543
6701,55.85669806,-4.224359876
88471,51.43291095,-0.019304697
7429,55.81705833,-4.024487858
87675,51.34381172,-0.198829974
57111,53.02377542,-1.482508337
89329,51.20470526,0.403524219
88602,51.49211695,0.152314343
19006,54.12767794,-0.180470253
17054,53.92572712,-1.797433352
51014,51.54394681,0.561740636
11563,54.11552743,-2.510678261
87024,51.18122867,-0.86810998
23115,53.54395463,-1.150950983
84207,50.48558013,-4.200383947
84205,50.45126278,-4.181463298
70421,51.76313936,-0.561989821
69211,52.39589466,-1.642830747
48066,52.58981037,1.630399083
18488,53.62105428,-1.793432947
87170,51.39904273,-0.280690953
88246,50.84037133,0.166045224
12001,55.77433248,-2.010983184
35018,53.62386666,-2.914609676
65707,52.56310696,-1.991099985
87085,51.24818564,-0.266948738
52739,51.52391689,-0.059541156
40061,53.09208073,-3.800865867
19023,53.84229102,-0.422987908
88275,50.84103615,0.477046655
88463,51.44021793,0.147928779
88421,51.46349868,0.133762124
69502,51.90348899,-1.150363803
74557,51.89302943,-1.148744504
88478,51.40010252,0.045266165
38012,53.40915247,-3.078558857
45611,52.0846894,-0.261163028
65035,52.62373158,-2.186083051
50327,51.62888492,0.418657803
15039,54.60561669,-1.279734248
87951,51.01519743,-0.450276631
55625,52.95420942,-0.951539284
17016,53.84862706,-1.837324833
78387,51.521556,-3.201862418
89479,51.37749657,1.301435901
36716,53.41273335,-2.525308218
88312,51.40388899,-0.055712503
36060,53.63406377,-3.01444691
38200,53.38832883,-3.020820427
