Station Name,Stanox,Latitude,Longitude
Acton Central,72252,51.50847,-0.26291
Acton Wells Jn,72251,51.52274,-0.25487
Aldersbrook Up C.H.S.,50430,51.55704,0.06239
Anerley Rail Station,87644,51.41215056,-0.065859803
Barking No7 Platform,51531,51.54014,0.07965
Barking Station Junction,51530,51.54334,0.07172
Barking Upney Junction,51529,51.53743,0.08741
Battersea Park,87203,51.48207,-0.1466
Battersea Pier Jn.,87199,51.48316,-0.14742
Bethnal Green,52739,51.52388,-0.05982
Blackhorse Road Rail Station,51555,51.58660552,-0.041209759
Bow Junction,52701,51.5311,-0.02055
Brockley Rail Station,87629,51.46464726,-0.037510903
Brondesbury Park,72414,51.54062,-0.21029
Brondesbury Rail Station,72415,51.54516617,-0.20228372
Bruce Grove Rail Station,51952,51.59395935,-0.06984192
Bury Street Jn,51948,51.63392,-0.06491
Bush Hill Park Rail Station,51947,51.64151935,-0.06919476
Bushey Rail Station,72003,51.6455845,-0.384725998
Caledonian Road & Barnsbury Rail Station,52058,51.54304142,-0.116703078
Cambridge Heath (London) Rail Station,52738,51.53197223,-0.057251933
Camden C.S.D.,72401,51.54171,-0.15271
Camden Jn,72315,51.54328,-0.15766
Camden Rd. E. Jn.,72422,51.54113,-0.13129
Camden Signal 2102,72423,51.54204,-0.14327
Camden Signal Nl1052,72433,51.54217,-0.14299
Canonbury Rail Station,52048,51.54873255,-0.092164332
Canonbury West Jn,52054,51.54726,-0.0988
Carpenders Park Rail Station,72004,51.62835347,-0.385916631
Chadwell Heath Rail Station,50405,51.56803811,0.128985143
Cheshunt,51815,51.70193,-0.02399
Chingford Country End Sdgs,52730,51.63276,0.0092
Chingford London End Sdgs,52728,51.63051,0.00728
Clapham High Street Rail Station,87209,51.46547997,-0.132496138
Clapham Jn Middle Sdg,87227,51.4642,-0.17385
Clapham Junction,87219,51.46335,-0.17253
Clapton Rail Station,52735,51.5616437,-0.056998275
Coppermill Junction,51937,51.57407,-0.05263
Crouch Hill Rail Station,51563,51.57130285,-0.117122773
Crystal Palace Rail Station,87625,51.41810674,-0.072583817
Dalston Kingsland,52046,51.54819,-0.0761
Denmark Hill,87606,51.46805,-0.08964
Earlsfield Rail Station,87250,51.44233528,-0.187690227
East Ham E.M.U.D.,51602,51.54422,0.06706
Edmonton Green Rail Station,51949,51.62492905,-0.061087329
Emerson Park Rail Station,50391,51.56864245,0.220139902
Enfield Town,51946,51.65165,-0.07874
Enfield Town Signal L5531,51945,51.67051,-0.02857
Euston Up Carriage Shed,72406,51.53494,-0.14356
Factory Jn,87233,51.47088,-0.13932
Finchley Road & Frognal Rail Station,72417,51.55026646,-0.183115237
Forest Gate Jn,50434,51.55092,0.0348
Forest Hill Rail Station,87627,51.43927809,-0.053131211
Gidea Park Middle Siding,50337,51.58462,0.21255
Goodmayes Rail Station,50412,51.56557815,0.110833738
Gospel Oak,72419,51.55548,-0.15136
Gospel Oak Sig Nl1000,72428,51.55548,-0.15136
Gospel Oak Signal 1304,72432,51.55551,-0.14717
Gunnersbury,87138,51.49141,-0.27553
Hackney Central,52044,51.54705,-0.05664
Hackney Downs,52736,51.54845,-0.06052
Hackney Wick,52040,51.54343,-0.02447
Haggerston Rail Station,52078,51.53870534,-0.075639719
Hampstead Heath Rail Station,72418,51.55521088,-0.165679801
Harlesden Jn,72267,51.53502,-0.25539
Harlesden Rail Station,72033,51.53628917,-0.257643905
Harringay Green Lanes Rail Station,51561,51.57718291,-0.098118041
Harringay Park Jn,51562,51.57418,-0.10916
Harrow & Wealdstone Rail Station,72007,51.5921691,-0.334548748
Hatch End Rail Station,72005,51.60941833,-0.368579032
Headstone Lane Rail Station,72006,51.60265001,-0.357197341
Highams Park Rail Station,52732,51.60834966,-0.000196097
Highbury & Islington,52053,51.5465,-0.10408
Highbury And Islington Ell,52051,51.5465,-0.10408
Homerton,52042,51.54705,-0.04282
Honor Oak Park Rail Station,87628,51.44998713,-0.045479634
Hoxton Rail Station,52080,51.53151157,-0.075654844
Ilford,50423,51.559,0.06897
Ilford E.M.U.D.,50422,51.56129,0.07917
Imperial Wharf,72245,51.47554,-0.18336
Junction Road Jn,63640,51.55858,-0.13815
Kensal Green Jn,72273,51.53289,-0.23468
Kensal Green Rail Station,72272,51.53054033,-0.225063307
Kensal Green Turnback,72412,51.53014,-0.2306
Kensal Rise,72413,51.53452,-0.22003
Kensington (Olympia),72241,51.49793,-0.21016
Kentish Town West Rail Station,72420,51.54654847,-0.146629699
Kenton Rail Station,72008,51.58180172,-0.316958174
Kew Gardens Rail Station,87136,51.47707175,-0.285031
Kilburn High Road Rail Station,72313,51.53727778,-0.19221251
Kilburn Up & Down Gds Lp,72312,51.53614,-0.19551
Latchmere Jn,87205,51.47107,-0.16936
Leyton Midland Road Rail Station,51551,51.56972559,-0.008022916
Leytonstone High Road Rail Station,51547,51.56355455,0.008443905
London Euston,72410,51.52991,-0.13592
